Code,E_p,E_u,E_s,E_a,E_d,E_c,Country,Group,Irrigation,Irrigable_area,Irrigated_area
1 221,0.2,,0.35,0.57,0.8,0.44,Germany,4,Surface,,
111,,,,0.75,,,Austria,4,Sprinkler,,
112,0.29,,0.6,0.49,0.8,0.75,Austria,4,Sprinkler,19000,5000
121,0.29,,0.64,0.46,0.8,0.8,Germany,4,Surface,,
123  1,0.07,,0.3,0.23,0.8,0.38,Germany,4,Surface,,
124,0.6,0.63,0.75,0.81,,,Germany,4,Sprinkler,,
131,0.57,0.7,,0.88,0.8,,Netherlands,4,Sprinkler,,
132,0.41,,,0.41,,,Netherlands,4,Surface,,
211,0.31,0.33,0.79,0.39,0.85,0.94,France,3,Surface,7100,5940
212,0.44,0.69,0.63,0.71,0.97,0.64,France,3,Sprinkler,930,930
213,,,,,,,France,3,Surface,,
214,0.28,0.67,0.4,0.7,0.94,,France,3,Sprinkler,2600,2100
215,0.46,0.56,0.69,0.66,0.85,0.82,France,3,Sprinkler,14000,14000
216,,0.62,,,,,France,3,Surface,,
217,,,,,,,France,3,Surface,,
218,,0.94,,,,,France,3,Surface,,
219,,0.71,,,,,France,3,Sprinkler,,
221,0.36,0.37,0.48,0.75,0.5,0.96,Greece,3,Sprinkler,1650,1350
222,0.2,0.34,0.31,0.65,0.53,0.59,Greece,3,Surface,250,144
223,0.3,,0.51,0.59,0.6,0.85,Greece,3,Surface,2200,1800
224,,,,0.63,,,Greece,3,Surface,,
231,,,,,,,Italy,3,Surface,,
232,0.2,0.36,0.36,0.56,0.65,0.56,Italy,3,Surface,28540,22335
233,0.29,0.43,0.47,0.62,0.7,0.67,Italy,3,Surface,20800,19760
241,0.34,0.43,0.46,0.72,0.6,0.77,Portugal,3,Surface,2100,1600
251,0.3,0.33,0.58,0.51,0.65,0.89,Spain,3,Sprinkler,1700,650
311,0.41,0.51,0.78,0.52,0.96,0.81,Cyprus,3,Surface,12300,3900
312,,,,0.62,,,Cyprus,3,Surface,,
313,0.39,0.44,0.74,0.52,0.84,0.88,Cyprus,3,Surface,1100,1100
321,0.3,0.46,0.46,0.66,0.7,0.66,Egypt,1,Surface,48500,1642
